Date,Dju
2009-01-01,435.61538461538464
2009-02-01,342.61538461538464
2009-03-01,286.6923076923077
2009-04-01,172.53846153846155
2009-05-01,78.38461538461539
2009-06-01,32.69230769230769
2009-07-01,9.23076923076923
2009-08-01,6.076923076923077
2009-09-01,37.61538461538461
2009-10-01,144.84615384615384
2009-11-01,206.46153846153845
2009-12-01,373.61538461538464
2010-01-01,460.38461538461536
2010-02-01,352.46153846153845
2010-03-01,305.0769230769231
2010-04-01,180.69230769230768
2010-05-01,140.23076923076923
2010-06-01,32.46153846153846
2010-07-01,3.3076923076923075
2010-08-01,19.076923076923077
2010-09-01,68.92307692307692
2010-10-01,169.07692307692307
2010-11-01,279.6923076923077
2010-12-01,449.15384615384613
2011-01-01,382.3076923076923
2011-02-01,290.2307692307692
2011-03-01,255.53846153846155
2011-04-01,115.15384615384616
2011-05-01,66.61538461538461
2011-06-01,40.76923076923077
2011-07-01,27.076923076923077
2011-08-01,15.846153846153847
2011-09-01,27.692307692307693
2011-10-01,122.0
2011-11-01,197.0
2011-12-01,307.0769230769231
2012-01-01,372.6923076923077
2012-02-01,484.61538461538464
2012-03-01,251.6153846153846
2012-04-01,240.0
2012-05-01,105.07692307692308
2012-06-01,37.53846153846154
2012-07-01,23.153846153846153
2012-08-01,6.769230769230769
2012-09-01,67.92307692307692
2012-10-01,145.3846153846154
2012-11-01,278.15384615384613
2012-12-01,357.53846153846155
2013-01-01,420.0769230769231
2013-02-01,407.53846153846155
2013-03-01,346.6923076923077
2013-04-01,232.69230769230768
2013-05-01,181.84615384615384
2013-06-01,57.76923076923077
2013-07-01,3.3076923076923075
2013-08-01,13.384615384615385
2013-09-01,50.15384615384615
2013-10-01,104.38461538461539
2013-11-01,312.53846153846155
2013-12-01,372.3076923076923
2014-01-01,331.53846153846155
2014-02-01,293.2307692307692
2014-03-01,276.38461538461536
2014-04-01,172.69230769230768
2014-05-01,130.15384615384616
2014-06-01,28.153846153846153
2014-07-01,14.615384615384615
2014-08-01,31.23076923076923
2014-09-01,35.30769230769231
2014-10-01,94.23076923076923
2014-11-01,210.84615384615384
2014-12-01,372.9230769230769
2015-01-01,394.3076923076923
2015-02-01,379.46153846153845
2015-03-01,295.2307692307692
2015-04-01,176.46153846153845
2015-05-01,104.23076923076923
2015-06-01,24.53846153846154
2015-07-01,9.307692307692308
2015-08-01,11.153846153846153
2015-09-01,82.76923076923077
2015-10-01,185.69230769230768
2015-11-01,214.0
2015-12-01,267.9230769230769
2016-01-01,349.15384615384613
2016-02-01,320.9230769230769
2016-03-01,326.0769230769231
2016-04-01,225.92307692307693
2016-05-01,119.46153846153847
2016-06-01,35.23076923076923
2016-07-01,12.538461538461538
2016-08-01,10.76923076923077
2016-09-01,27.46153846153846
2016-10-01,189.53846153846155
2016-11-01,282.38461538461536
2016-12-01,391.3076923076923
2017-01-01,480.9230769230769
2017-02-01,288.3076923076923
2017-03-01,235.6153846153846
2017-04-01,221.76923076923077
2017-05-01,92.23076923076923
2017-06-01,16.846153846153847
2017-07-01,6.846153846153846
2017-08-01,16.076923076923077
2017-09-01,79.46153846153847
2017-10-01,115.61538461538461
2017-11-01,307.0
2017-12-01,384.0769230769231
2018-01-01,306.61538461538464
2018-02-01,418.15384615384613
2018-03-01,314.84615384615387
2018-04-01,150.0
2018-05-01,87.76923076923077
2018-06-01,16.0
2018-07-01,1.2307692307692308
2018-08-01,8.923076923076923
2018-09-01,38.69230769230769
2018-10-01,142.46153846153845
2018-11-01,270.0
2018-12-01,330.9230769230769
2019-01-01,427.6923076923077
2019-02-01,294.84615384615387
2019-03-01,265.38461538461536
2019-04-01,209.92307692307693
2019-05-01,150.0
2019-06-01,18.53846153846154
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,0.0
2019-12-01,0.0
